code,ratio_eco_total,ratio_orgashop,ratio_mart,orgashop_mart,orgashop,mart_wo_orga,mart_orga,orga_total,eco_wo_orga,exp_total,sel1,sel2,sel3,sel4,sel5,sel6,heal1,heal2,heal3,heal4,heal5,sec1,sec2,sec3,sec4,fre1,fre2,fre3,econ1,econ2,econ3,econ4,tast1,tast2,tast3,plea1,plea2,plea3,habi1,habi2,habi3,atti1,atti2,atti3,atti4,atti5,atti6,heal,econ,habit,info,local,new,no_add,plea,sec,taste,ratio_orga_total,ratio_orga_shop,ratio_mart_eco,_clus_1,_clus_2,_clus_3,_clus_4,_clus_5,_clus_6,_clus_7,_clus_8,_clus_9,_clus_10,_clus_11,_clus_12,_clus_13,_clus_14,_clus_15,_clus_16,_clus_17,_clus_18,_clus_19,_clus_20,_clus_21,_clus_22,_clus_23,_clus_24,_clus_25,_clus_26,_clus_27,_clus_28,_clus_29,_clus_30
1300,.001107,0,1,21650,0,7000,14650,14650,7000,1.96e+07,5,6,6,6,7,6,6,5,5,3,2,4,5,4,5,7,7,6,6,6,6,6,6,4,3,4,4,4,3,4,6,5,5,6,5,5,4,-.0568,1.5795,-.2666,-.0577,-.4617,-.2277,-.4829,-.2401,-.8851,-.6686,.001107,0,.001107,1,2,2,4,3,3,3,3,1,5,4,7,8,6,5,6,1,2,4,5,4,2,2,2,2,4,4,5,4,4
1301,.0040121,.1184227,.8815773,81910,9700,49230,22980,32680,49230,2.04e+07,7,7,7,6,7,4,6,6,6,7,7,7,7,7,4,7,7,7,6,6,6,4,7,7,7,7,7,6,4,6,6,6,6,6,6,6,6,.6197,.593,-.0253,.8064,.5197,1.7593,1.5309,1.9307,1.3018,1.4821,.0040121,.0004751,.003537,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
1305,.0008772,0,1,4130,0,0,4130,4130,0,4708279,6,6,6,6,6,6,5,6,6,4,4,5,6,5,6,7,6,6,6,5,4,5,5,4,5,3,4,4,4,5,5,5,5,4,4,5,5,.3129,.6435,-.5671,-.6699,-.4617,-.3616,.3364,-.2401,.3156,-.5164,.0008772,0,.0008772,1,2,2,4,1,4,5,3,1,2,4,7,8,6,5,6,1,6,4,3,4,2,2,2,2,1,4,5,4,4
1308,.0008987,0,1,14480,0,10880,3600,3600,10880,1.61e+07,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,6,6,6,6,5,6,5,3,6,5,4,5,3,5,6,4,4,4,4,4,.6197,1.0863,-.3257,-1.0992,-.6091,.3572,.7115,.3021,.8585,-.0531,.0008987,0,.0008987,1,3,4,1,1,4,5,3,1,5,4,3,8,3,5,6,2,2,4,5,6,2,2,5,4,3,6,5,3,3
1310,.0133101,.2779685,.7220315,198080,55060,136870,6150,61210,136870,1.49e+07,7,7,7,7,7,6,4,6,2,5,4,7,7,7,6,7,7,7,7,5,3,4,7,6,5,5,5,1,7,5,5,7,3,5,4,4,5,-1.1205,.0403,.157,-.5815,-.7565,.5403,1.5309,-.5141,1.0592,.7145,.0133101,.0036998,.0096103,2,3,3,5,1,4,5,3,2,5,5,3,8,1,5,2,2,2,4,6,5,2,1,5,2,2,5,5,3,1
1311,.0197358,.4708382,.5291618,353030,166220,135740,51070,217290,135740,1.79e+07,5,6,6,4,6,3,3,7,4,6,2,6,6,5,6,7,7,6,4,2,2,3,5,4,2,5,4,5,6,5,6,6,6,5,6,6,6,-.4691,-1.232,.4574,.5032,.5197,.5403,.7115,.0319,-.2273,-.7446,.0197358,.0092924,.0104434,2,2,3,3,2,2,2,1,2,4,1,6,7,1,1,3,4,4,2,4,3,4,4,1,4,6,2,4,6,5
1312,.0032979,.1194453,.8805547,98790,11800,20590,66400,78200,20590,3.00e+07,5,4,6,5,6,2,4,6,3,2,4,5,3,5,4,6,6,6,5,2,2,2,5,5,3,4,4,3,6,5,6,6,4,4,4,4,4,-.8389,-1.7252,.4574,-1.0992,-.6091,.0894,-.9966,-.5122,-.2562,-.0531,.0032979,.0003939,.002904,1,1,1,3,3,1,1,2,2,3,5,6,6,1,3,2,4,5,5,6,5,6,1,4,2,5,1,2,2,1
1313,.0070654,.8262487,.1737513,196200,162110,17800,16290,178400,17800,2.78e+07,6,6,7,5,6,6,4,6,5,6,7,6,6,5,5,6,7,7,6,4,7,6,6,6,6,7,7,7,7,7,7,6,6,7,7,7,7,-.2756,1.2433,1.2406,1.7592,.5197,2.0763,.7115,2.2028,.8441,.7905,.0070654,.0058378,.0012276,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
1314,.0025045,0,1,30100,0,21300,8800,8800,21300,1.20e+07,4,4,6,5,6,4,3,3,3,3,4,3,3,5,3,7,7,7,6,4,4,3,6,6,4,4,4,4,7,4,6,5,5,5,5,5,5,-2.3304,-.5661,.6988,-.1464,-.4617,-.2277,-1.7467,-.2401,-.5422,.6384,.0025045,0,.0025045,1,1,1,3,3,1,1,2,2,3,6,4,5,5,3,2,4,5,5,6,2,6,3,4,6,5,1,2,2,2
1316,.0025015,.553556,.4464441,46120,25530,11570,9020,34550,11570,1.84e+07,6,6,6,6,6,6,5,6,5,3,2,5,4,4,4,6,6,6,5,5,4,4,4,6,6,4,4,4,5,5,4,5,4,4,5,6,2,.0313,.1502,-.8675,-.8784,-1.026,.0894,-.5522,-.2401,-1.171,.7905,.0025015,.0013847,.0011168,1,1,1,3,3,3,3,2,2,5,5,3,6,1,5,2,2,2,4,6,5,4,1,5,2,2,5,5,2,1
