code,ratio_eco_total,ratio_orgashop,ratio_mart,orgashop_mart,orgashop,mart_wo_orga,mart_orga,orga_total,eco_wo_orga,exp_total,sel1,sel2,sel3,sel4,sel5,sel6,heal1,heal2,heal3,heal4,heal5,sec1,sec2,sec3,sec4,fre1,fre2,fre3,econ1,econ2,econ3,econ4,tast1,tast2,tast3,plea1,plea2,plea3,habi1,habi2,habi3,atti1,atti2,atti3,atti4,atti5,atti6,heal,econ,habit,info,local,new,no_add,plea,sec,taste,ratio_orga_total,ratio_orga_shop,ratio_mart_eco,_clus_1,_clus_2,_clus_3,_clus_4,_clus_5,_clus_6,_clus_7,_clus_8,_clus_9,_clus_10,_clus_11,_clus_12,_clus_13,_clus_14,_clus_15,_clus_16,_clus_17,_clus_18,_clus_19,_clus_20,_clus_21,_clus_22,_clus_23,_clus_24,_clus_25,_clus_26,_clus_27,_clus_28,_clus_29,_clus_30
1,.0039785,0,1,86016,0,81066,4950,4950,81066,2.16e+07,7,7,7,4,6,4,6,6,6,4,2,4,4,4,4,7,7,7,6,4,4,2,7,5,2,2,4,5,6,4,6,6,5,4,4,4,4,.6197,-1.0594,.4574,-1.0992,-.0447,-1.1296,-.9273,.0319,-1.171,-.1292,.0039785,0,.0039785,1,1,1,3,3,1,1,2,2,2,2,2,4,6,3,6,1,2,5,3,1,4,5,1,2,4,5,4,1,6
2,.0058853,.3295675,.6704325,147466,48600,58676,40190,88790,58676,2.51e+07,5,6,6,5,6,5,4,6,6,4,4,5,4,4,4,6,6,5,4,3,3,4,6,6,4,5,4,6,6,6,7,5,6,6,5,5,6,.0061,-.4058,.9992,.3713,.1027,.8574,-.5522,.304,-.6281,.6384,.0058853,.0019396,.0039457,2,3,3,3,3,3,1,1,2,5,5,6,7,1,3,3,4,4,3,4,5,5,1,5,1,4,5,4,2,1
3,.0021527,0,1,38311,0,38311,0,0,38311,1.78e+07,7,7,7,4,4,5,7,7,7,7,5,7,7,7,5,7,7,7,7,6,6,4,7,2,1,6,6,4,7,7,7,7,7,7,7,7,7,1.6031,.593,1.2406,1.7592,1.501,1.6254,1.5309,.8443,1.0448,-2.0516,.0021527,0,.0021527,2,2,4,4,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,2,4,3,2,1,3,3
4,.0050454,.5804858,.4195142,48580,28200,17380,3000,31200,17380,9628602,7,7,7,6,6,5,4,4,5,2,3,4,5,5,3,7,6,7,5,5,6,6,4,2,4,3,5,6,4,3,4,6,7,6,4,4,4,-1.0654,1.3565,-1.1088,-.4928,1.084,-.9957,-.4829,.8462,-.8136,-1.8234,.0050454,.0029288,.0021166,2,2,2,4,3,3,3,3,1,2,4,7,2,6,6,6,1,6,2,5,4,2,2,2,5,4,4,5,4,4
5,.0028719,.1078943,.8921058,55610,6000,43780,5830,11830,43780,1.94e+07,5,5,5,6,6,5,5,6,7,4,3,4,3,4,3,5,6,6,6,6,6,4,6,6,5,4,6,5,6,4,6,6,5,5,5,4,4,.5946,.593,.4574,-.5757,-.0447,-.2277,-1.3716,1.1164,-1.1854,.7145,.0028719,.0003099,.002562,1,1,4,3,3,1,4,2,2,5,5,3,7,1,3,2,4,2,4,6,5,2,2,5,1,4,5,5,2,1
9,.0057765,.7747934,.2252066,96800,75000,5780,16020,91020,5780,1.68e+07,5,6,6,6,6,4,5,6,5,4,2,6,4,2,2,3,5,4,6,6,6,6,4,5,3,5,5,5,6,5,6,6,4,2,3,5,6,.0313,1.5795,.4574,-1.2822,-.6091,.5403,-.1772,.5742,-2.4865,-.0531,.0057765,.0044756,.0013009,1,1,1,3,3,3,3,2,2,5,5,3,8,1,5,2,2,2,4,6,6,2,2,5,1,3,4,5,3,3
11,.0014219,0,1,13800,0,13800,0,0,13800,9705164,7,7,6,7,7,6,6,5,7,6,2,7,6,7,4,6,6,7,6,6,4,4,7,6,4,7,6,7,6,7,6,7,7,7,6,6,6,.5065,.3733,.4574,1.1096,1.501,2.0763,1.0865,1.6605,-.0556,.6384,.0014219,0,.0014219,2,3,4,1,1,4,5,1,3,1,3,1,1,4,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
12,.0005035,0,1,7600,0,4200,3400,3400,4200,1.51e+07,7,7,7,7,7,7,7,7,5,4,4,6,4,6,6,7,6,7,4,4,5,2,6,4,5,4,6,7,7,4,7,7,7,7,6,6,6,1.0398,-.9495,1.2406,1.1096,1.501,-.2277,-.1772,1.6605,.6874,-.5164,.0005035,0,.0005035,2,3,3,5,2,2,2,1,3,1,3,1,1,4,1,3,3,3,3,4,3,5,4,1,4,6,3,4,1,5
14,.0206101,.5112574,.4887426,338088,172850,53278,111960,284810,53278,1.64e+07,4,4,6,6,6,3,4,5,4,6,5,6,6,6,6,6,6,2,6,6,6,6,6,6,3,2,2,2,6,2,6,6,5,5,6,6,6,-.9521,1.5795,.4574,.5032,-.0447,-1.7636,.7115,-1.8687,.9589,.5624,.0206101,.010537,.010073,1,2,2,4,1,4,5,3,1,2,4,7,2,6,6,6,5,6,2,5,4,2,2,2,5,2,6,5,4,4
21,.0008481,0,1,13900,0,0,13900,13900,0,1.64e+07,6,6,6,6,5,1,6,6,3,6,4,6,5,5,5,6,5,5,5,2,2,2,6,2,3,4,3,4,3,4,6,6,6,5,2,5,6,-.2252,-1.7252,-.2666,-.5929,.5197,-.2277,.2671,-.7824,.0297,-1.8995,.0008481,0,.0008481,1,2,2,4,2,2,2,3,1,2,2,2,4,6,6,6,1,6,2,3,1,1,5,3,5,1,2,3,4,6
22,.0183399,.9549845,.0450155,330775,315885,4990,9900,325785,4990,1.80e+07,7,7,6,5,6,6,7,7,7,6,5,7,6,6,6,7,7,7,6,4,2,2,7,6,5,5,5,7,7,6,7,6,6,6,6,5,5,1.6031,-1.2791,1.2406,.3771,.5197,.8574,1.0865,1.1183,.9589,.7145,.0183399,.0175144,.0008256,2,3,3,5,2,2,2,1,3,1,3,1,1,4,1,3,3,3,3,2,3,5,4,6,3,6,3,4,6,5
23,.0012271,0,1,16350,0,13360,2990,2990,13360,1.33e+07,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,5,5,4,7,7,4,7,7,7,7,7,7,7,1.6031,1.4192,1.2406,1.7592,1.501,.2233,1.5309,.5761,2.1596,.099,.0012272,0,.0012272,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,2,3,3,6,1,3,3
24,.0045585,.7105452,.2894548,140737,100000,40737,0,100000,40737,3.09e+07,4,4,6,6,6,6,2,5,2,2,2,3,3,2,2,6,6,7,3,3,2,2,4,2,2,2,2,6,5,2,3,4,6,5,2,2,5,-2.1291,-1.5022,-1.4093,-1.4518,-.3142,-1.7636,-1.7467,-.7805,-2.4865,-1.9755,.0045585,.0032391,.0013195,1,1,1,2,3,1,4,2,4,3,6,4,5,5,4,5,6,5,1,1,2,1,3,3,6,5,1,2,5,2
25,.0053881,.8435916,.1564084,138100,116500,10900,10700,127200,10900,2.56e+07,7,7,6,6,4,2,4,6,5,6,6,7,6,7,6,7,7,7,6,2,2,2,7,5,2,2,2,4,7,5,7,7,6,7,5,7,4,-.2756,-1.7252,1.2406,.675,.9366,-.8125,1.0865,-1.3246,1.6022,-.1292,.0053881,.0045454,.0008427,2,3,3,5,2,2,2,3,1,4,1,6,3,4,1,3,3,4,2,4,1,4,5,1,4,6,3,4,1,5
29,.092228,.9604039,.0395961,3125487,3001730,111647,12110,3013840,111647,3.39e+07,7,7,7,5,6,4,4,6,7,7,2,7,6,7,7,6,5,7,2,1,1,1,6,5,6,2,2,2,1,1,2,7,5,5,4,2,6,.2877,-2.5514,-2.9165,-.7966,.3722,-2.0807,1.0865,-1.8687,.8022,.1751,.092228,.0885761,.0036519,1,2,3,5,2,2,2,3,1,2,1,5,6,3,6,4,1,1,6,3,1,4,5,1,5,6,3,4,1,6
30,.0043187,.1810087,.8189913,137010,24800,55770,56440,81240,55770,3.17e+07,7,7,6,5,7,5,6,7,4,6,6,6,7,7,6,7,7,7,7,2,2,2,6,4,2,2,4,6,4,4,5,7,6,5,4,4,4,.4513,-1.7252,-.5671,-.796,.9366,-1.1296,1.1558,.304,1.6022,-.7446,.0043187,.0007817,.003537,2,3,3,5,2,2,2,3,1,4,1,5,3,3,1,4,3,1,6,4,3,4,4,1,4,6,3,4,1,5
31,.0066732,.6243758,.3756242,155195,96900,33485,24810,121710,33485,2.33e+07,7,7,6,6,6,4,4,6,6,6,5,6,6,6,5,7,7,3,6,4,4,4,6,6,5,5,5,4,5,6,5,5,6,6,6,6,6,.0061,-.0729,-.3257,.8064,.1027,.8574,.7115,.3021,.673,.7145,.0066733,.0041666,.0025066,2,3,3,5,2,4,5,1,3,4,1,1,3,2,1,3,3,1,3,2,3,5,4,5,1,2,3,4,3,5
32,.0046647,.0591319,.9408681,99777,5900,52117,41760,47660,52117,2.14e+07,6,6,6,5,6,6,5,5,5,4,4,4,4,4,4,6,5,6,5,3,4,4,6,6,6,5,5,5,6,5,6,6,4,4,4,4,4,-.3636,-.2959,.4574,-1.0992,-.6091,.5403,-.9273,.5742,-.6281,.7905,.0046647,.0002758,.0043889,1,1,1,3,3,1,1,2,2,5,5,3,7,1,3,2,2,2,5,6,5,5,1,5,1,4,5,2,2,1
36,,,,0,0,0,0,0,0,2.87e+07,6,6,6,6,6,4,7,6,6,4,2,4,4,5,4,7,7,7,7,7,7,6,7,6,6,6,6,5,7,4,6,7,4,4,4,4,4,.9266,1.9125,.6988,-1.0992,-.1921,.6743,-.9273,1.1164,-.7992,.7905,0,0,0,1,3,4,1,3,3,3,1,2,5,5,3,8,1,5,1,2,2,4,5,6,3,6,5,1,3,6,5,3,3
37,.0023703,0,1,35532,0,35532,0,0,35532,1.50e+07,7,7,7,7,7,7,7,7,5,6,4,6,6,5,5,7,6,7,6,7,7,6,7,6,6,6,7,7,7,5,7,7,4,6,6,6,7,1.0398,1.9125,1.2406,1.0209,-.1921,.9913,.7115,2.2028,.0297,.7905,.0023703,0,.0023703,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
38,.0012753,0,1,30390,0,21740,8650,8650,21740,2.38e+07,1,2,2,3,1,4,5,7,5,4,6,7,6,5,3,6,7,5,7,6,5,4,7,6,5,3,6,7,7,4,6,6,7,6,3,4,5,.4262,.4831,.6988,-.4987,1.084,-.6786,1.0865,1.6605,.0008,.7145,.0012753,0,.0012753,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
41,.0097257,0,1,237774,0,229924,7850,7850,229924,2.44e+07,6,6,6,4,6,5,7,7,7,7,7,7,7,5,7,7,7,7,6,2,3,2,6,6,6,6,6,6,2,2,2,6,6,6,6,4,4,1.6031,-1.6154,-2.6751,-.0522,.5197,.0402,1.5309,1.3885,1.4159,.7905,.0097257,0,.0097257,2,3,3,5,2,2,2,1,3,4,1,5,3,3,1,4,3,1,6,2,3,5,4,6,3,6,3,4,1,5
42,.0033295,.4910813,.5089186,63126,31000,23186,8940,39940,23186,1.90e+07,5,6,6,4,7,5,4,7,7,4,5,5,5,5,6,7,6,6,6,4,2,4,5,3,6,3,3,3,6,5,6,5,4,4,5,6,6,.6826,-.2926,.4574,-.0203,-1.026,-.3616,-.1079,-1.0544,.5871,-1.0558,.0033295,.0016351,.0016945,1,2,2,4,2,2,1,3,1,2,2,2,4,6,6,6,1,6,2,3,1,1,5,3,5,1,2,3,4,6
43,.0005997,0,1,12290,0,0,12290,12290,0,2.05e+07,6,7,7,7,6,6,5,5,4,4,4,5,5,4,4,6,7,7,6,4,4,4,4,5,4,4,4,5,6,4,4,5,4,5,5,5,5,-.6453,-.0729,-.6261,-.1464,-1.026,-.2277,-.1079,.0319,-.6281,.023,.0005997,0,.0005997,1,1,1,3,3,3,1,2,2,5,5,3,6,1,5,2,2,2,4,6,5,2,1,5,2,4,5,5,2,1
44,.0169605,.9913821,.0086179,345790,342810,2980,0,342810,2980,2.04e+07,6,6,7,4,7,4,4,4,6,4,4,4,2,4,4,6,6,6,4,3,4,3,5,5,4,4,4,4,4,5,4,5,5,5,4,4,4,-.7837,-.7892,-1.1088,-.796,-.4617,.0894,-1.8159,-.2401,-.6281,.023,.0169605,.0168143,.0001462,1,1,1,2,3,1,4,2,4,3,6,4,6,5,3,2,6,5,5,6,5,6,3,4,2,4,1,2,2,2
45,.0120548,.326604,.673396,305875,99900,183075,22900,122800,183075,2.54e+07,6,5,6,5,6,2,5,6,4,2,4,5,4,4,3,6,6,6,5,3,4,3,6,6,5,3,4,4,6,3,5,5,6,5,5,5,5,-.2504,-.7892,-.0843,-.1464,.1027,-.9957,-.5522,-.2401,-.914,.7145,.0120548,.0039371,.0081176,1,1,1,3,3,1,1,2,2,4,5,6,6,1,3,2,4,4,5,4,5,4,5,1,2,4,5,4,1,1
53,.0012249,0,1,14100,0,11200,2900,2900,11200,1.15e+07,6,6,5,4,5,4,6,4,5,4,4,4,4,5,4,5,4,5,4,4,4,5,4,2,2,3,4,4,6,4,5,6,5,5,4,4,4,-.4517,.4204,-.0843,-.796,-.0447,-.6786,-.9273,-.2401,-.2562,-1.9755,.0012249,0,.0012249,1,2,2,4,3,3,3,2,4,2,2,2,4,6,6,6,1,6,2,3,4,1,2,3,5,1,4,3,4,4
55,.001184,0,1,18830,0,5980,12850,12850,5980,1.59e+07,6,6,6,7,7,4,4,6,6,4,4,6,6,4,4,6,4,6,6,6,6,4,6,4,5,3,6,7,3,2,4,6,6,4,4,4,4,.0061,.593,-1.3502,-1.0992,.5197,-1.3127,.7115,1.6605,-.6281,-.5164,.001184,0,.001184,2,2,4,1,1,3,3,3,1,2,4,5,2,3,5,4,1,1,6,5,4,2,2,2,4,3,6,5,4,4
56,.0034134,.3085943,.6914057,64810,20000,21730,23080,43080,21730,1.90e+07,6,6,7,6,7,6,6,7,7,6,4,6,4,6,4,7,7,6,6,4,4,4,7,6,4,6,4,4,4,4,4,6,6,6,6,6,7,1.2963,-.0729,-1.1088,1.0209,.5197,.6743,-.1772,-.2401,.1156,.6384,.0034134,.0010533,.00236,2,3,3,5,2,3,1,1,3,4,1,5,3,3,1,4,3,1,6,2,3,4,4,5,4,2,3,4,6,5
58,.0004163,0,1,9900,0,9900,0,0,9900,2.38e+07,7,7,5,5,5,6,6,7,6,5,7,6,6,5,7,5,7,1,6,5,4,2,7,7,4,2,4,6,2,1,4,6,7,6,7,6,6,1.0146,-.8363,-1.5915,1.0267,1.084,-2.0807,.7115,.304,1.4159,1.2539,.0004163,0,.0004163,2,3,3,5,2,2,2,3,1,4,1,5,3,3,1,4,3,1,6,4,3,4,5,1,4,6,3,4,1,5
59,.0031028,.5551517,.4448483,63280,35130,26270,1880,37010,26270,2.04e+07,7,7,7,5,7,7,7,7,7,5,4,7,7,7,6,7,7,5,6,6,6,1,7,7,5,6,6,4,1,4,3,5,7,7,7,7,7,1.6031,-.8868,-2.3747,1.7592,.6671,.6743,1.5309,.8443,1.0592,1.3299,.0031028,.0017225,.0013803,2,3,3,5,2,2,2,1,3,4,1,5,3,3,1,4,3,1,6,2,3,5,4,6,3,6,3,4,6,5
66,.0053565,.2683788,.7316211,107311,28800,70831,7680,36480,70831,2.00e+07,5,6,6,6,5,6,4,6,6,5,5,6,5,6,5,6,6,6,6,5,6,4,6,5,5,4,5,5,4,3,6,6,6,6,5,5,5,.0061,.3699,-.0253,.1568,.5197,-.5447,.2671,.5742,.673,.099,.0053565,.0014376,.0039189,2,3,4,1,1,4,5,3,1,4,4,7,2,3,2,1,5,3,4,5,4,2,2,2,4,3,6,5,4,4
71,.0003321,.7578948,.2421053,9500,7200,0,2300,9500,0,2.86e+07,6,6,6,6,6,6,5,6,6,5,2,7,7,7,6,7,7,5,6,4,2,2,6,6,2,2,4,7,6,6,6,7,6,6,6,6,6,.3129,-1.2791,.4574,.8064,.9366,-.4955,1.5309,.5761,.5163,.4863,.0003321,.0002517,.0000804,2,3,3,5,2,2,2,1,3,4,1,6,3,4,1,3,3,4,3,4,3,4,4,1,4,6,3,4,1,5
73,.0095205,0,1,124730,0,94310,30420,30420,94310,1.31e+07,6,6,6,4,6,6,4,4,6,4,4,4,4,5,4,5,5,6,6,4,4,4,6,6,6,4,4,5,4,4,5,4,5,5,5,5,5,-.7837,-.0729,-.5671,-.1464,-.8786,-.2277,-.9273,.0319,-.2562,.7905,.0095205,0,.0095205,1,1,1,3,3,3,1,2,2,5,5,3,6,1,3,2,2,2,5,6,5,6,1,4,2,4,5,2,2,1
74,.0063346,.1548048,.8451952,129195,20000,37425,71770,91770,37425,2.04e+07,6,6,6,5,6,4,6,6,6,4,4,6,4,6,4,6,6,6,4,4,4,4,4,4,3,4,4,6,6,4,6,6,4,6,4,4,4,.6197,-.0729,.4574,-.4928,-.6091,-.2277,-.1772,.304,.1156,-.6686,.0063346,.0009806,.0053539,1,2,2,4,2,3,1,3,1,5,4,7,8,1,5,6,1,2,4,3,4,2,2,5,2,1,2,3,4,4
78,.008238,.5280832,.4719168,157532,83190,44342,30000,113190,44342,1.91e+07,6,6,7,6,7,6,5,5,5,5,4,6,6,6,5,6,6,6,6,5,4,5,6,4,3,4,5,5,7,4,6,6,7,5,5,4,5,-.3636,.6435,.6988,-.3612,1.084,-.2277,.7115,.5742,.4015,-.6686,.008238,.0043503,.0038876,2,2,4,1,1,4,5,3,1,5,4,7,2,2,2,6,5,6,2,5,4,2,2,2,4,3,6,5,4,4
79,.0074733,0,1,75080,0,51230,23850,23850,51230,1.00e+07,4,4,6,5,6,4,1,2,2,1,1,4,2,2,2,7,7,4,7,7,6,6,4,1,6,5,4,1,7,4,7,6,6,6,6,6,6,-3.6206,1.8026,1.2406,.8064,.5197,.2233,-1.8159,-1.0563,-2.7579,-2.2868,.0074733,0,.0074733,1,1,1,2,3,1,4,2,4,3,6,4,5,5,4,5,6,5,5,1,2,6,3,2,6,5,1,2,5,2
80,.0166893,0,1,239424,0,197744,41680,41680,197744,1.43e+07,6,7,7,5,7,7,5,6,6,5,4,5,6,6,6,7,7,7,7,5,2,2,5,7,4,4,4,5,6,4,5,5,5,5,5,5,6,.3129,-1.0561,-.0843,.0681,-.4617,-.2277,.3364,.0319,.6874,1.2539,.0166893,0,.0166893,2,3,3,5,2,2,2,1,2,4,1,6,3,1,1,3,3,4,6,4,3,4,5,1,2,2,3,4,1,5
81,.0049354,0,1,71790,0,70830,960,960,70830,1.45e+07,6,7,6,5,4,2,6,6,6,4,4,7,6,6,4,6,6,3,6,6,6,4,7,2,3,4,4,6,6,6,6,6,5,5,5,4,7,.6197,.593,.4574,.0678,-.0447,.4064,1.0865,.304,.1156,-1.8995,.0049354,0,.0049354,2,2,2,4,1,4,5,3,1,5,4,7,2,2,6,6,1,6,2,5,4,2,6,2,4,1,2,3,4,4
82,.0182444,.2761087,.7238914,173410,47880,84590,40940,88820,84590,9504816,4,4,6,5,6,7,6,7,5,5,6,6,4,3,3,6,6,6,4,3,4,1,6,5,2,6,7,2,7,6,6,6,3,2,2,1,1,.733,-1.7757,.6988,-3.4342,-1.1735,1.3083,-.1772,.8424,-.7428,-.1292,.0182444,.0050374,.013207,1,3,3,3,2,2,1,2,2,5,5,3,8,1,5,2,2,2,4,6,3,5,4,1,1,6,2,3,6,1
84,.0145946,.7616119,.238388,405272,308660,46172,50440,359100,46172,2.78e+07,6,5,6,6,7,4,4,5,4,3,2,5,2,5,5,6,5,5,5,4,4,4,6,6,6,4,3,5,7,6,6,6,7,5,5,4,5,-.9521,-.0729,.6988,-.3612,1.084,.4064,-1.4409,-.5103,-.5133,.7905,.0145946,.0111154,.0034792,1,1,1,3,3,1,1,2,2,5,5,6,7,1,3,2,4,4,5,6,5,6,1,1,1,4,5,2,2,1
85,.0022552,.27428,.72572,80210,22000,49875,8335,30335,49875,3.56e+07,7,7,7,6,6,6,5,5,5,4,4,5,4,5,4,6,6,7,7,7,6,5,6,5,5,4,5,7,5,2,6,6,4,4,4,5,5,-.3636,1.3093,.2161,-.6699,-.6091,-.8617,-.5522,1.1183,-.2562,.099,.0022552,.0006186,.0016366,1,3,4,1,1,3,3,3,2,5,5,3,8,1,5,2,2,2,4,6,4,2,2,5,2,4,4,5,4,4
86,.2540233,.9857851,.0142149,8780920,8656100,77480,47340,8703440,77480,3.46e+07,7,6,7,6,6,4,7,7,7,6,6,6,6,6,6,7,7,7,7,4,2,5,6,6,6,6,3,4,6,2,6,6,5,6,7,6,6,1.6031,.2007,.4574,1.0267,-.0447,.0402,.7115,-.7824,1.2304,.7905,.2540233,.2504124,.0036109,2,3,3,5,1,4,5,1,3,1,1,1,3,2,1,1,5,3,3,5,3,4,2,5,4,2,6,1,3,5
88,.0205079,.8428935,.1571065,527623,444730,69913,12980,457710,69913,2.57e+07,6,4,5,6,6,2,6,6,6,3,2,5,2,5,2,5,6,6,6,6,3,3,4,2,2,2,2,4,6,2,6,5,6,2,2,3,2,.6197,-.2299,.4574,-2.7901,.1027,-1.7636,-1.4409,-1.3246,-1.371,-1.9755,.0205079,.017286,.0032219,1,1,2,2,3,1,4,2,4,2,2,2,4,6,4,5,1,5,1,3,1,1,5,3,5,1,4,3,4,6
91,.016562,.4299474,.5700526,357253,153600,149243,54410,208010,149243,2.16e+07,5,5,6,5,6,5,6,5,6,4,5,5,4,5,5,7,6,6,4,4,4,4,5,5,5,3,3,4,5,3,5,5,5,4,4,5,5,.2248,-.0729,-.3257,-.6699,-.4617,-.9957,-.5522,-.7824,.3012,.099,.016562,.0071208,.0094412,1,2,2,4,2,3,1,3,1,2,2,2,6,6,5,6,1,2,4,3,1,4,5,4,2,2,5,5,4,6
92,.0101081,.1293525,.8706475,286040,37000,205440,43600,80600,205440,2.83e+07,6,6,5,6,7,7,5,5,4,3,5,7,7,6,4,7,7,6,7,7,6,4,6,4,3,4,3,7,3,3,4,6,7,6,7,7,7,-.6453,.816,-1.3502,1.456,1.084,-.5447,1.5309,.0338,.387,-.6686,.0101081,.0013075,.0088006,2,2,2,4,1,4,5,3,1,4,4,5,2,3,2,4,5,1,6,5,4,2,2,2,4,3,6,5,4,4
93,.0088844,.5973471,.4026529,112330,67100,27360,17870,84970,27360,1.26e+07,6,6,6,6,7,6,6,6,5,5,6,7,7,7,7,6,6,7,7,7,7,6,7,5,5,5,6,6,7,6,6,7,6,6,6,6,6,.3381,1.9125,.6988,.8064,.9366,.8574,1.5309,1.3885,1.8881,.099,.0088844,.0053071,.0035773,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
95,.1043049,.9708744,.0291256,1894550,1839370,27340,27840,1867210,27340,1.82e+07,6,6,6,5,7,5,3,3,6,4,2,4,3,6,5,7,6,6,6,2,2,2,6,2,4,2,4,4,6,4,6,7,4,4,4,3,3,-1.4854,-1.7252,.4574,-1.5285,-.1921,-1.1296,-1.3716,-.2401,-.1414,-1.8234,.1043049,.101267,.0030379,1,1,1,2,3,1,1,2,4,3,6,2,4,5,4,5,6,5,1,1,2,1,3,3,6,5,1,2,5,2
97,.002348,0,1,19300,0,12970,6330,6330,12970,8219791,7,7,6,6,6,3,5,6,3,4,3,6,5,7,4,7,7,6,5,5,3,7,4,1,3,1,4,4,6,6,6,7,6,7,4,4,4,-.5321,1.5202,.4574,-.1896,.9366,-.9465,.2671,-.2401,.2159,-2.5149,.002348,0,.002348,2,2,2,4,1,4,5,3,1,2,4,7,2,6,6,6,1,6,2,5,4,1,2,2,5,1,4,5,4,4
98,.0214354,.0828651,.9171349,309660,25660,243230,40770,66430,243230,1.44e+07,5,5,6,6,5,4,4,5,2,2,4,5,2,4,2,6,7,6,3,6,5,3,5,6,6,4,3,4,5,4,6,4,4,6,5,4,5,-1.5154,-.0101,.2161,-.058,-1.443,-.2277,-1.4409,-.7824,-1.1999,.7905,.0214354,.0017762,.0196591,1,1,1,3,3,1,4,2,4,3,6,4,5,5,4,2,6,5,5,6,2,6,3,4,6,5,1,2,2,2
99,.0615192,.8329552,.1670448,1468702,1223363,202539,42800,1266163,202539,2.39e+07,6,7,7,6,7,6,6,6,6,4,2,5,5,6,5,7,7,6,7,6,6,4,6,4,4,4,4,4,6,5,6,6,6,5,5,6,6,.6197,.593,.4574,.2829,.5197,.0894,-.1079,-.2401,-.1414,-.5925,.0615192,.0512427,.0102765,2,2,2,4,1,3,3,3,1,5,4,7,2,2,6,6,5,6,2,5,4,2,2,2,4,1,4,5,4,4
101,.0441285,.926441,.073559,1113800,1031870,50720,31210,1063080,50720,2.52e+07,6,7,7,6,6,4,6,6,6,6,5,6,6,6,6,7,6,6,6,6,6,4,6,6,6,6,4,3,6,6,6,6,6,6,6,6,6,.6197,.593,.4574,.8064,.5197,1.3083,.7115,-.5122,.9589,.7905,.0441285,.0408825,.003246,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,5,3,2,6,1,3,3
104,.0110106,.2153546,.7846454,243784,52500,185144,6140,58640,185144,2.21e+07,4,5,6,5,6,3,6,6,7,4,6,5,5,5,5,6,6,6,6,5,6,5,5,4,3,3,3,4,3,3,4,5,5,5,5,5,6,.9014,.8632,-1.3502,.0681,-.4617,-.9957,-.1079,-.7824,.5726,-.6686,.0110106,.0023712,.0086394,1,2,2,4,1,4,5,3,1,2,4,5,2,3,6,4,1,1,6,3,4,2,2,3,5,1,4,5,4,4
107,.0106916,.0363867,.9636133,192378,7000,151838,33540,40540,151838,1.80e+07,4,5,6,4,6,5,4,3,3,5,3,3,4,3,5,5,4,5,4,4,3,2,6,6,4,4,4,4,2,2,2,6,4,4,4,4,4,-2.0236,-1.1693,-2.6751,-1.0992,-.6091,-.8617,-1.3023,-.2401,-.9854,.6384,.0106916,.000389,.0103026,1,1,1,2,3,1,1,2,4,3,6,4,6,5,4,5,6,5,1,6,2,6,3,4,6,5,1,2,2,2
108,.0010135,0,1,10444,0,10444,0,0,10444,1.03e+07,5,6,6,5,7,4,4,5,6,4,3,5,5,6,6,6,6,7,5,3,3,3,6,6,5,5,3,4,6,5,7,7,7,7,6,5,6,-.3888,-.899,.9992,.8948,1.501,.5403,-.1079,-.7824,.4159,.7145,.0010135,0,.0010135,2,3,3,3,2,2,1,1,3,4,1,6,7,4,1,3,3,4,3,4,3,4,4,1,1,6,3,4,6,5
110,.0010036,0,1,17830,0,16850,980,980,16850,1.78e+07,6,6,7,4,4,2,4,6,5,4,2,3,3,4,4,5,5,5,5,3,3,2,5,3,2,2,4,4,6,3,6,6,6,6,5,5,7,-.2756,-1.3923,.4574,.5858,.5197,-1.4466,-1.7467,-.2401,-1.171,-1.3601,.0010036,0,.0010036,1,1,1,2,3,1,4,2,4,2,2,2,4,6,3,6,4,4,2,3,1,1,3,3,5,4,1,3,5,6
111,.0025177,0,1,36400,0,30700,5700,5700,30700,1.45e+07,6,6,6,7,7,4,6,7,4,4,4,7,6,4,3,6,6,7,6,7,6,6,6,6,2,4,4,2,4,4,4,7,6,4,4,6,4,.4513,1.8026,-1.1088,-.6697,.9366,-.2277,1.0865,-.7843,-.914,.4863,.0025177,0,.0025177,2,2,2,4,1,4,3,3,1,5,4,7,2,3,5,6,5,1,6,5,4,2,2,2,4,3,6,1,3,4
112,.0084341,.1342419,.8657581,117698,15800,80208,21690,37490,80208,1.40e+07,7,7,7,6,7,6,6,7,7,4,5,7,6,6,4,7,7,7,7,4,3,1,7,7,7,6,6,3,3,5,6,7,6,6,5,4,6,1.2963,-1.6625,-.2666,.1565,.9366,.9913,1.0865,.5723,.387,1.4821,.0084341,.0011322,.0073019,2,3,3,5,2,2,2,1,3,4,1,1,3,4,1,3,3,4,3,2,3,5,4,6,3,6,3,4,6,5
